term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
3108	0.9359	4	AT1G15140,AT1G20810,AT1G79230,AT1G79450,AT4G01900,AT4G24930	70	82	6	13
3919	0.9356	5	AT1G22020,AT1G22450,AT1G42960,AT1G51350,AT1G54500,AT1G75690,AT2G22360,AT2G35040,AT3G15360,AT3G15840,AT3G28850,AT3G60370,AT4G13670,AT4G16155,AT4G39460,AT5G12470,AT5G16660,AT5G21430,AT5G52970,AT5G53170,AT5G59250	75	91	21	17
3896	0.9349	4	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G20810,AT1G22020,AT1G22450,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G50460,AT1G51350,AT1G54500,AT1G75690,AT1G79230,AT1G79450,AT2G20270,AT2G22360,AT2G24020,AT2G35040,AT2G37230,AT2G40760,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G15840,AT3G22690,AT3G24590,AT3G25480,AT3G28850,AT3G46780,AT3G53560,AT3G55330,AT3G57680,AT3G58010,AT3G60370,AT4G13010,AT4G13670,AT4G16155,AT4G20820,AT4G24930,AT4G27700,AT4G38380,AT4G39460,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G23890,AT5G52970,AT5G53170,AT5G59250	75	88	56	14
4952	0.9343	2	AT1G22020,AT1G22450,AT1G51350,AT1G52220,AT1G75690,AT2G22360,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G13670,AT4G16155,AT4G27700,AT5G16660,AT5G21430,AT5G53170,AT5G59250	84	94	18	11
3047	0.9328	7	AT1G42960,AT1G54500,AT2G22360,AT3G15360,AT3G60370,AT4G13670,AT4G39460,AT5G12470,AT5G16660,AT5G21430,AT5G52970	69	91	11	23
470	0.9321	4	AT1G22020,AT1G22450,AT1G50250,AT1G51350,AT1G56500,AT1G75690,AT2G42975,AT3G58010,AT3G60370,AT4G13010,AT4G38380,AT4G39460,AT5G12470,AT5G16150,AT5G19500,AT5G52970,AT5G53170	52	64	17	13
3353	0.9316	4	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT5G53170,AT5G59250	71	96	9	26
2609	0.9298	4	AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT1G54500,AT1G79230,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G24590,AT3G58010,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT4G39730	66	80	19	15
1740	0.929	7	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G38380,AT4G39730	60	85	13	26
2002	0.9286	5	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT1G50460,AT1G79230,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G24590,AT3G25480,AT3G58010,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT4G39730,AT5G16150,AT5G19500	62	77	21	16
3902	0.9275	5	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G20810,AT1G23740,AT1G29920,AT1G30510,AT1G50250,AT1G50460,AT1G79230,AT1G79450,AT2G20270,AT2G24020,AT2G37230,AT2G40760,AT2G42220,AT2G42975,AT2G43010,AT3G22690,AT3G24590,AT3G25480,AT3G46780,AT3G53560,AT3G55330,AT3G57680,AT3G58010,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT5G16150,AT5G19500,AT5G23890	75	89	34	15
4267	0.927	9	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G50250,AT1G55370,AT2G20270,AT2G24020,AT2G42975,AT2G43010,AT3G57680,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500	77	105	17	29
4727	0.9259	4	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT2G35040,AT3G28850,AT4G16155,AT4G27700,AT5G59250	81	101	9	21
3931	0.9251	8	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G50250,AT1G50460,AT2G20270,AT2G24020,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT3G25480,AT3G46780,AT3G55330,AT3G57680,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500,AT5G23890	75	92	23	18
3696	0.925	1	AT1G51350,AT4G16155,AT1G22450,AT5G53170,AT5G59250,AT1G75690,AT2G35040,AT1G22020,AT5G52440,AT3G28850,AT3G15840,AT4G27700	74	83	12	10
2796	0.9242	5	AT1G42960,AT2G22360,AT2G42220,AT3G15360,AT3G55330,AT4G13670,AT4G39460,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	67	88	12	22
1711	0.9226	6	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT1G79230,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT4G39730	60	80	16	21
3917	0.9223	6	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G20810,AT1G23740,AT1G29920,AT1G30510,AT1G50250,AT1G50460,AT1G79230,AT1G79450,AT2G20270,AT2G24020,AT2G40760,AT2G42220,AT2G42975,AT2G43010,AT3G22690,AT3G24590,AT3G25480,AT3G46780,AT3G53560,AT3G55330,AT3G57680,AT3G58010,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT5G16150,AT5G19500,AT5G23890	75	90	33	16
951	0.9222	4	AT1G22020,AT1G50460,AT1G51110,AT1G75690,AT2G42220,AT3G58010	56	70	6	15
1338	0.9216	4	AT1G07510,AT1G10170,AT1G15820,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G42975,AT3G15360,AT3G24590,AT3G55330,AT4G13010,AT4G38380,AT4G39460,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G42070,AT5G52970	58	74	21	17
2756	0.92	5	AT1G15140,AT1G79230,AT4G01900,AT4G20820,AT4G24930	67	81	5	15
704	0.9198	7	AT1G07510,AT1G10170,AT1G15820,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G42975,AT3G15360,AT3G24590,AT3G55330,AT4G13010,AT4G35770,AT4G38380,AT4G39460,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970	54	72	21	19
3472	0.9184	8	AT1G06690,AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT1G50460,AT2G20270,AT2G24020,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT3G25480,AT3G55330,AT3G57680,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500,AT5G23890	72	92	21	21
4744	0.918	8	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G50250,AT1G55370,AT2G20270,AT2G24020,AT2G42975,AT2G43010,AT3G57680,AT3G58010,AT3G60370,AT4G13010,AT4G38380,AT5G12470,AT5G16150,AT5G19500,AT5G52970	81	105	20	25
222	0.918	5	AT1G22020,AT1G22450,AT1G50250,AT1G51350,AT1G56500,AT1G75690,AT2G42975,AT3G58010,AT3G60370,AT4G13010,AT4G38380,AT4G39460,AT5G12470,AT5G19500,AT5G52970,AT5G53170	49	64	16	16
1662	0.9172	3	AT1G06690,AT1G07510,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G79230,AT2G22360,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G57680,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G42070,AT5G52970	60	74	33	15
2797	0.9139	7	AT1G06690,AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G50250,AT1G54500,AT2G24020,AT2G37230,AT2G40760,AT2G42975,AT2G43010,AT3G22690,AT3G24590,AT3G57680,AT3G58010,AT4G13010,AT4G38380	67	88	19	22
540	0.9135	12	AT2G22360,AT3G15360,AT3G55330,AT5G16660,AT5G21430	52	88	5	37
4940	0.912	10	AT3G10130,AT3G24590,AT4G24750,AT4G39960,AT5G23890	83	107	5	25
2567	0.9117	1	AT5G21430,AT4G38380,AT2G43010,AT1G51350,AT5G16660,AT1G79230,AT2G42220,AT1G54500,AT5G12470,AT1G20810,AT4G16155,AT1G56500,AT1G22450,AT5G53170,AT3G58010,AT1G50460,AT1G21750,AT1G30510,AT5G59250,AT1G75690,AT3G24590,AT3G15360,AT4G20820,AT1G74070,AT3G53560,AT5G53490,AT2G42975,AT4G13670,AT2G35040,AT1G03850,AT1G50250,AT1G22020,AT5G16150,AT3G46780,AT1G79450,AT1G29920,AT2G22360,AT1G15820,AT3G28850,AT2G37400,AT4G28025,AT3G15840,AT4G27700,AT5G19500,AT4G13010,AT1G42960,AT3G26080,AT2G37230,AT4G39730,AT1G07510,AT2G21160,AT4G39460,AT2G24020,AT5G52970,AT4G24930,AT3G55330,AT1G16790,AT1G15140,AT1G51110,AT3G25480	66	75	60	10
3999	0.9117	10	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G50250,AT1G50460,AT2G20270,AT2G24020,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT3G57680,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500,AT5G23890	75	104	20	30
692	0.9115	6	AT1G07510,AT1G10170,AT1G15820,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G42975,AT3G15360,AT3G24590,AT3G55330,AT3G60370,AT4G13010,AT4G13670,AT4G35770,AT4G38380,AT4G39460,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970,AT5G53170	54	69	24	16
