purity	class_distance	pearson	geneSet	geneSize	min_TimePoint	max_TimePoint
0.0358974358974	0.132802059628	0.249202720707	841892,843110,841467,838779,838672,820827,843827,842833,844230,816692,838250,818316,838362	13	98	107
0.0	0.0162837227381	0.756844585616	839433,835355,818731,819107,817221	5	59	75
0.116161616162	0.0585199850611	0.683579514273	822132,822517,843903,841558,827307,835320	6	63	73
0.0	0.01123103184	0.342466774791	841900,841843,835355,838021,842985,831377,822266	7	91	102
0.0666666666667	0.0344647399459	0.565133507602	824970,830101,838984,830754,829995,835320	6	61	70
0.142857142857	0.127018975138	0.567461508452	830593,841919,821657,831888,828917,817174,835320	7	97	106
0.406593406593	0.405194969728	0.899018063296	816394,817467,844378,838259,834232,821483,829438	7	72	84
0.0	0.0260774834916	0.731247136173	837974,823859,836393,3770591,816545	5	76	88
0.0	0.00799740619977	0.6996211797	816936,824699,835375,824937,834212	5	71	80
0.0	0.0125035486399	0.701384514269	824970,836043,830101,835375,826914,825208,831122	7	49	65
0.00505050505051	0.0182501605036	0.637963549357	821143,818599,832057,817221,818731,3768499	6	77	87
0.0	0.0244180703518	0.525871906919	838455,817646,843596,824699,843048,837555,838364,829730,817272	9	97	107
0.0	0.0548212199789	0.759565777977	839433,835355,837974,828489,833471,817221,838455,818731,3770591,819107	10	63	72
0.0	0.00781406094254	0.414656264366	818903,816546,827830,824937,827001,832454,818672,841984,843810	9	94	103
