,term_id,sign_score,level,annotation_gene,start_time,end_time,geneSize,time_size
136,5579,0.0389,1,"843903,823831,821143,822132,841919,830593",52,61,6,10
137,112885,0.0389,1,"829995,831472,823831,832070,841468,838807,822132,822517,820827,828884,841558,836043",72,81,12,10
138,19005,0.0389,1,"838672,843110,843747,842833,816692,829966",56,65,6,10
139,19006,0.0389,1,"838672,843110,838362,842833,816692,829966",56,65,6,10
140,93039,0.0389,1,"843903,822517,836043,828884,838807,831528,841558,820827,818822,822132,830101,824970",69,78,12,10
141,172038,0.0386,1,"816270,844343,818343,832057,837778,844010,816545,831861,820041,838259,825714,823859,837974,818599,3770591,828489,818633,821143,817221",87,96,19,10
142,74399,0.0381,1,"827307,823831,832070,822517,836043,843903,838807,831472,841558,820827,842103,822132,841468,838851",66,75,14,10
143,177480,0.0379,1,"839433,837778,844343,816270,816545,817620,818343,818599,819107,820041,831861,832057",89,99,12,11
144,187469,0.0378,1,"830699,816651,837040,820775,839930,824524,836393,843747,830128,822132,833471,829966,814643,841920,839392",96,105,15,10
145,38870,0.037,1,"838151,838851,840894,841447,816768,818899,820775,822517,824699,825208,826914,830101,831122,831528,835320,835375,835398,836043",60,70,18,11
146,106624,0.037,1,"823831,836043,838807,824970,830101,822132,820827,841468,822517",71,80,9,10
147,179629,0.037,1,"823831,818822,828884,820827,841468,816768,831472,818069,835398,832247,841652,838851,827307,843903,838807,841558,836043,822517",90,99,18,10
148,172131,0.037,1,"838079,838807,841447,841468,841558,843903,820827,822517,823831,824970,826914,827307,828884,829995,831472,832070,835398,836043",87,97,18,11
149,62919,0.037,1,"818822,832070,820827,822517,843903,838807,841558,822132,827307",64,73,9,10
150,51034,0.037,1,"839433,839566,837974,838455,3768499,816545,817221,817499,817620,818343,818731,819107,820741,828489,3770591,833471,834232,835355",62,75,18,14
151,188060,0.037,1,"839566,817499,816545,843095,819107,839433,837996,838259,831861",97,106,9,10
152,188063,0.037,1,"820827,820775,838672,843747,841892,829966,822132,814643,830128",97,106,9,10
153,172037,0.0367,1,"816270,844343,818343,832057,837778,844010,816545,831861,820041,838259,819107,839433,818633,823859,837974,3770591,828489,818599,821143,817221",87,96,20,10
154,86663,0.0367,1,"827001,840894,835398,818899,825208,842103,831528,841447,816768,831122",68,77,10,10
155,188868,0.0366,1,"839433,837778,843095,844343,816270,817499,818343,818599,819107,3770591,831861,832057,834212,835398",98,110,14,13
