term_id	sign_score	annotation_gene	annotation_window	geneSize	window_size
188060	0.1111	['AT1G03160', 'AT2G29500', 'AT2G20260', 'AT1G67700', 'AT2G44990', 'AT1G02560', 'AT1G14345', 'AT1G16880', 'AT5G01500']	[48]	9	1
25608	0.1111	['AT1G14150', 'AT2G20260', 'AT2G29500', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	6	16
136579	0.11	['AT1G14150', 'AT2G26800', 'AT2G40100', 'AT3G01440', 'AT4G37925']	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	5	20
23691	0.1083	['AT1G03160', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT3G01440', 'AT4G27700', 'AT4G37925']	[8, 9, 10, 11, 12]	8	5
121353	0.1077	['AT2G01918', 'AT2G40100', 'AT3G01440', 'AT4G23890', 'AT5G62720']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]	5	13
121354	0.1077	['AT2G01918', 'AT2G26800', 'AT2G40100', 'AT3G01440', 'AT4G23890']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]	5	13
126506	0.1077	['AT1G22020', 'AT3G15840', 'AT3G25480', 'AT3G46780', 'AT3G58010']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]	5	13
25029	0.1076	['AT1G14150', 'AT1G18730', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	8	12
135887	0.1071	['AT1G14150', 'AT2G26800', 'AT2G40100', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925']	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]	7	16
38841	0.1071	['AT1G02560', 'AT1G14150', 'AT1G18730', 'AT2G20260', 'AT2G26800', 'AT2G37660', 'AT2G41330', 'AT2G44990', 'AT3G15110', 'AT4G23890', 'AT4G27700', 'AT5G35170', 'AT5G42270', 'AT5G52780']	[11, 12]	14	2
126638	0.1071	['AT1G14150', 'AT2G17630', 'AT2G26800', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G62720']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]	8	14
23688	0.1067	['AT1G67700', 'AT3G01440', 'AT3G08920', 'AT4G27700', 'AT4G37925']	[8, 9, 10, 11, 12]	5	5
35800	0.1048	['AT2G20260', 'AT2G29500', 'AT3G01440', 'AT3G08920', 'AT4G37925']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	5	14
24769	0.1044	['AT1G14150', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	9	11
38764	0.1042	['AT4G27700', 'AT2G37660', 'AT5G35170', 'AT5G42270', 'AT5G52780', 'AT2G41330', 'AT2G20260', 'AT1G14150', 'AT1G18730', 'AT3G15110', 'AT5G39830', 'AT1G02560', 'AT4G23890', 'AT2G40100', 'AT2G44990', 'AT2G26800']	[11]	16	1
187537	0.1042	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G75690', 'AT2G22360', 'AT2G42220', 'AT3G28850', 'AT3G46780', 'AT4G13010', 'AT4G16155', 'AT4G23890', 'AT5G19500', 'AT5G21430', 'AT5G59250']	[47, 48]	16	2
