Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
46226	0.0456	10	19	0	0	0	0
131331	0.0455	7	23	0	1	0	1
69144	0.0455	11	10	0	1	1	1
38845	0.0455	16	11	0	0	1	1
118898	0.0455	8	11	1	0	0	1
28582	0.0454	13	13	0	0	0	1
69171	0.0452	31	10	0	1	1	0
38767	0.0451	17	10	0	0	1	1
168646	0.0451	17	10	0	0	0	0
172035	0.045	20	10	1	1	1	0
172412	0.0449	13	12	0	1	1	1
28760	0.0448	17	14	1	0	0	0
28762	0.0448	17	14	1	0	0	0
168681	0.0447	19	11	1	1	0	1
44055	0.0444	21	10	0	1	1	0
141597	0.0444	15	16	0	0	0	0
23872	0.0444	12	15	1	0	0	0
81348	0.0444	11	15	0	0	0	1
16314	0.0444	5	21	1	0	0	1
49232	0.0444	6	40	1	1	1	1
181470	0.0444	9	10	1	1	1	0
184448	0.0444	15	10	0	1	1	0
186655	0.0444	12	10	0	0	1	1
124706	0.0444	10	12	0	0	0	1
28159	0.0444	12	10	0	0	0	1
130040	0.0444	12	15	0	1	0	1
162869	0.0444	8	15	1	1	0	1
129623	0.0443	13	11	1	1	0	1
94140	0.0442	7	14	1	1	1	1
28763	0.0442	14	14	1	0	0	1
39091	0.0441	17	12	1	0	0	0
132130	0.044	7	26	0	1	1	1
155887	0.044	13	14	0	0	0	0
159225	0.044	14	13	1	1	1	1
40388	0.0438	11	18	0	0	0	0
152084	0.0438	9	11	0	0	1	1
69331	0.0438	9	11	1	1	0	1
129512	0.0438	7	37	0	1	1	1
113469	0.0437	7	12	1	0	0	0
182000	0.0437	6	14	0	1	1	0
125086	0.0437	6	14	1	0	0	1
41825	0.0436	5	26	1	0	0	1
147291	0.0436	5	26	1	1	1	1
125654	0.0436	9	17	0	0	1	1
38844	0.0436	16	11	0	0	1	1
38846	0.0436	16	11	0	0	1	1
142982	0.0435	10	23	0	1	1	1
167245	0.0433	10	20	1	1	1	1
58771	0.0433	10	20	0	1	1	1
162134	0.0433	30	10	0	0	0	0
16456	0.0433	7	22	1	0	1	1
57017	0.043	28	13	0	0	0	1
86669	0.0429	7	10	1	0	0	0
69298	0.0428	29	11	1	0	0	1
188866	0.0427	12	13	0	1	0	1
62949	0.0425	29	10	0	0	0	1
6134	0.0424	11	20	1	0	0	0
