term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
149410	0.0556	1	816270,832057,837778,818343,844343,838259,831861,844010,830754,817499,839433,820041,817620,816545,819107	89	98	15	10
122177	0.0556	1	839566,817620,838362,817499,820041,833471,839433,819107,818343	79	88	9	10
156154	0.0556	1	839433,839566,838259,843095,816270,816545,817499,819107,820041,831861	93	104	10	12
156163	0.0556	3	838250,838672,843747,818316,829966,830128	93	104	6	12
160848	0.0556	3	837974,844343,817221,818343,827564,835398	96	111	6	16
160879	0.0556	1	839566,816545,837996,838259,817499,818343,843095,839433,820041	97	106	9	10
114707	0.055	9	841468,841558,818069,820827,823831,831472,832070,835398	76	100	8	25
114890	0.0549	10	841468,841558,818069,823831,831472,832070,835398	76	101	7	26
139984	0.0549	1	816270,837778,818343,844343,832057,831861,816545,844010,820041,837974,843095,817499,838362,838259,817620,819107,839433	85	94	17	10
51982	0.0549	6	839433,843095,844010,816545,817499,817620,818343,820041,831861,832057	63	79	10	17
144961	0.0548	1	816270,818343,831861,832057,816545,820041,838362,817499,817620,843095,839433,838259,819107,830754	87	96	14	10
143317	0.0547	4	841468,841558,841652,818069,823831,831472,832070,835398	86	101	8	16
26810	0.0542	2	837996,843095,821143,820041,3770591	58	73	5	16
101300	0.0541	5	838807,838851,841558,843903,822517,827307	72	110	6	39
158266	0.054	2	838250,838672,838779,841892,842833,844230,818316	94	108	7	15
36469	0.0536	3	839566,837974,837996,838455,843095,816545,817499,817620,818343,819107,821143,820041,820741,3770591,833471,834232	60	73	16	14
30340	0.0536	1	839566,837974,837996,838455,843095,816545,817499,817620,821143,820041,820741,828884,3770591,833471	59	70	14	12
37326	0.0535	6	837974,843095,816545,817499,817620,818343,821143,820041,820741	60	77	9	18
144959	0.0529	1	816270,818343,831861,832057,816545,820041,837778,844343,844010,818599,837974,3770591,817499,838259,817620,839433,819107	87	96	17	10
121329	0.0529	7	838807,838851,841558,843903,822517,827307,828884,836043	78	103	8	26
41195	0.0528	3	839433,839566,837974,837996,838455,843095,816545,817499,817620,818343,819107,821143,820041,820741,3770591,833471,834232	61	73	17	13
41790	0.0528	2	839433,839566,837974,843095,816545,817221,817499,817620,818343,819107,821143,820041,820741,3770591,833471,834232	61	75	16	15
97670	0.0528	2	838807,838851,841468,841558,843903,820827,822132,822517,832070,836043	72	83	10	12
97672	0.0528	2	838807,838851,841468,841558,820827,822132,822517,823831,832070,836043	72	83	10	12
149792	0.0527	2	839433,837778,838259,843095,844343,816270,816545,817499,817620,818343,819107,820041,831861,832057	89	102	14	14
61892	0.0525	4	839433,838362,843095,844010,816545,817499,817620,818343,820041,831861,832057	65	79	11	15
61897	0.0525	4	839433,838362,844010,816545,817499,817620,818343,819107,820041,831861,832057	65	79	11	15
