term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
2032	0.0673	AT1G03160,AT1G14345,AT1G67700,AT1G72640,AT2G20260,AT3G08920,AT3G14420,AT4G33010	50	62	8	13
35132	0.0673	AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920	59	77	6	19
35125	0.0673	AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920,AT4G37925	59	77	6	19
130909	0.067	AT1G22020,AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G25480,AT3G46780,AT4G16155,AT5G53170	75	95	9	21
63634	0.067	AT1G02560,AT1G03160,AT1G14150,AT1G14345,AT1G67700,AT1G76760,AT1G80380,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT5G01500,AT5G19370,AT5G42270	64	76	18	13
100008	0.0667	AT4G27700,AT1G22020,AT1G22450,AT3G46780,AT3G28850,AT3G15840,AT1G51350,AT3G25480,AT5G59250,AT1G50460	70	79	10	10
70094	0.0667	AT1G22020,AT1G22450,AT1G56500,AT4G27700,AT5G59250	65	78	5	14
106636	0.0667	AT1G02560,AT1G03160,AT1G67700,AT1G03090,AT2G30695,AT2G37660	71	80	6	10
74412	0.0667	AT1G22020,AT1G22450,AT1G51350,AT1G56500,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT4G27700,AT5G59250	66	76	10	11
174216	0.0667	AT1G07510,AT2G20270,AT4G13670,AT5G12470,AT5G53170	87	106	5	20
112847	0.0667	AT4G16155,AT3G46780,AT5G19500,AT5G59250,AT3G28850,AT4G27700,AT1G22020,AT3G15840,AT1G51350,AT3G25480,AT1G50460,AT1G22450	72	81	12	10
181471	0.0667	AT2G17630,AT5G01500,AT1G03160,AT2G29500,AT2G30695,AT2G20260,AT1G67700,AT3G08920,AT1G16880,AT2G44990,AT1G02560	91	100	11	10
160957	0.0667	AT1G02560,AT1G16880,AT2G20260,AT2G37660,AT2G44990	83	104	5	22
34620	0.0662	AT1G03160,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920,AT4G37925	59	75	8	17
45371	0.066	AT1G02560,AT1G03160,AT1G14150,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT3G15110,AT5G42270	61	76	12	16
175105	0.0657	AT1G02560,AT1G12250,AT1G16880,AT1G67700,AT1G80030,AT2G17630,AT2G30695,AT2G44990,AT3G08920,AT5G01500,AT5G08540,AT5G19370	88	98	12	11
162679	0.0655	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT4G27700,AT5G53170,AT5G59250	84	97	12	14
142985	0.0652	AT1G50460,AT2G35040,AT3G46780,AT4G16155,AT5G16150,AT5G16660,AT5G19500,AT5G53170	78	100	8	23
129891	0.0651	AT1G22020,AT1G22450,AT1G50460,AT1G51110,AT1G51350,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	75	87	13	13
129889	0.0651	AT1G22020,AT1G22450,AT1G50460,AT1G51110,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G46780,AT4G16155,AT5G53170,AT5G59250	75	87	13	13
159090	0.0648	AT1G22020,AT1G51350,AT1G54500,AT3G15840,AT3G25480,AT3G46780,AT3G53560,AT4G16155,AT5G53170	83	94	9	12
87597	0.0646	AT1G22020,AT1G51350,AT3G15840,AT3G25480,AT3G28850,AT4G27700,AT5G59250	68	81	7	14
87600	0.0646	AT1G22020,AT1G50460,AT3G15840,AT3G25480,AT3G28850,AT4G27700,AT5G59250	68	81	7	14
172033	0.0643	AT2G17630,AT1G80030,AT2G37660,AT5G19370,AT1G67700,AT2G29500,AT2G30695,AT5G08540,AT2G20260,AT3G08920,AT1G16880,AT2G44990,AT1G02560,AT5G01500	87	96	14	10
57282	0.0635	AT1G02560,AT1G03160,AT1G14150,AT1G14345,AT1G67700,AT1G76760,AT1G80030,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT5G01500,AT5G19370,AT5G42270	63	76	18	14
165276	0.0633	AT3G46780,AT5G53170,AT4G16155,AT1G51350,AT1G22020,AT3G15840,AT3G53560,AT5G53490,AT1G54500,AT3G25480	85	94	10	10
112905	0.063	AT2G30695,AT1G67700,AT2G29500,AT3G08920,AT5G19370,AT1G03090,AT2G37660,AT1G02560,AT5G01500	72	81	9	10
183766	0.063	AT1G02560,AT1G03160,AT1G14345,AT1G16880,AT2G20260,AT2G29500	92	106	6	15
93113	0.063	AT4G16155,AT1G22450,AT5G59250,AT4G27700,AT1G56500,AT3G15840,AT1G22020,AT1G51350,AT5G16660	69	78	9	10
129686	0.0628	AT1G22020,AT1G22450,AT1G50460,AT1G51110,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G46780,AT3G58010,AT4G16155,AT5G53170,AT5G59250	75	85	14	11
141736	0.0627	AT1G54500,AT3G25480,AT3G46780,AT3G53560,AT5G53170	78	94	5	17
183438	0.0627	AT1G02560,AT1G03160,AT1G14345,AT1G16880,AT1G67700,AT2G20260,AT2G29500,AT2G44990,AT3G08920	92	104	9	13
