wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
705	7	12	5	4	['AT3G26080', 'AT5G53490', 'AT1G05385', 'AT4G31560']
3403	34	37	3	8	['AT3G14420', 'AT4G36810', 'AT2G41680', 'AT3G47450', 'AT4G25910', 'AT3G17830', 'AT2G04030', 'AT2G26360']
6026	6	32	26	7	['AT5G42765', 'AT5G20140', 'AT4G18370', 'AT4G04020', 'AT4G39960', 'AT2G27290', 'AT5G23890']
905	9	14	5	15	['AT1G20810', 'AT2G37400', 'AT1G50450', 'AT1G21750', 'AT3G53560', 'AT1G74880', 'AT1G54500', 'AT1G78915', 'AT1G67840', 'AT1G54580', 'AT2G21530', 'AT4G38100', 'AT1G65260', 'AT2G01140', 'AT2G21160']
2203	22	25	3	37	['AT2G17630', 'AT2G18790', 'AT5G42070', 'AT1G02560', 'AT5G39830', 'AT2G29500', 'AT1G03160', 'AT4G39460', 'AT5G42270', 'AT1G14345', 'AT1G80030', 'AT1G56500', 'AT1G72640', 'AT2G30695', 'AT2G37660', 'AT2G22360', 'AT4G39730', 'AT1G67700', 'AT1G03090', 'AT1G80380', 'AT4G33010', 'AT5G01500', 'AT2G20260', 'AT5G19370', 'AT2G30950', 'AT1G55370', 'AT5G08540', 'AT1G52220', 'AT3G08920', 'AT1G76760', 'AT1G12250', 'AT4G24750', 'AT5G03455', 'AT2G44990', 'AT3G15110', 'AT2G40400', 'AT2G29180']
16034	16	50	34	18	['AT5G42765', 'AT3G10130', 'AT3G55330', 'AT4G31560', 'AT4G35770', 'AT1G06690', 'AT5G52970', 'AT1G66670', 'AT4G01050', 'AT2G40760', 'AT1G74710', 'AT3G57680', 'AT1G67280', 'AT3G26580', 'AT2G27290', 'AT4G01900', 'AT5G23890', 'AT1G17850']
3909	39	48	9	109	['AT2G17630', 'AT4G13670', 'AT5G02160', 'AT1G07510', 'AT1G75690', 'AT3G10470', 'AT1G14150', 'AT4G39960', 'AT1G31180', 'AT2G43010', 'AT2G42220', 'AT1G23740', 'AT4G16155', 'AT4G35770', 'AT1G50250', 'AT4G38380', 'AT2G40100', 'AT4G27700', 'AT4G37925', 'AT1G29920', 'AT5G19500', 'AT2G30695', 'AT4G13010', 'AT5G42765', 'AT1G15140', 'AT1G67280', 'AT4G23890', 'AT1G06690', 'AT2G30950', 'AT5G20140', 'AT2G20260', 'AT2G40760', 'AT2G40400', 'AT3G46780', 'AT4G31560', 'AT4G20820', 'AT5G42070', 'AT5G39830', 'AT2G29500', 'AT2G20270', 'AT3G22690', 'AT1G17850', 'AT3G28850', 'AT4G24930', 'AT2G37660', 'AT4G18370', 'AT5G19370', 'AT1G74710', 'AT1G66670', 'AT4G01900', 'AT3G55330', 'AT1G79230', 'AT3G47060', 'AT5G13120', 'AT5G16150', 'AT5G59250', 'AT2G26800', 'AT2G01918', 'AT5G52970', 'AT1G27510', 'AT1G12250', 'AT1G54580', 'AT2G42975', 'AT3G10130', 'AT1G10170', 'AT3G60370', 'AT1G54050', 'AT4G01050', 'AT5G21430', 'AT1G80030', 'AT1G72640', 'AT3G24590', 'AT1G15820', 'AT2G22360', 'AT1G18730', 'AT3G26580', 'AT5G01500', 'AT1G14590', 'AT3G08920', 'AT1G52220', 'AT4G04020', 'AT5G16660', 'AT2G44990', 'AT3G15110', 'AT1G22450', 'AT1G16880', 'AT5G53170', 'AT1G42960', 'AT1G02560', 'AT3G58010', 'AT1G51350', 'AT4G39460', 'AT2G27290', 'AT1G50460', 'AT5G23890', 'AT2G35040', 'AT1G22020', 'AT1G67700', 'AT5G03455', 'AT5G52780', 'AT5G12470', 'AT1G55370', 'AT2G24020', 'AT1G76760', 'AT4G24750', 'AT5G15250', 'AT3G57680', 'AT5G35170', 'AT3G01440']
1012a	1	13	12	5	['AT1G20810', 'AT1G03090', 'AT2G37400', 'AT2G21530', 'AT1G21750']
1022a	1	23	22	24	['AT5G53170', 'AT1G07510', 'AT1G75690', 'AT5G42070', 'AT4G16155', 'AT3G58010', 'AT4G38380', 'AT3G22690', 'AT1G51350', 'AT5G16660', 'AT4G20820', 'AT5G21430', 'AT1G56500', 'AT1G29920', 'AT5G19500', 'AT4G39460', 'AT4G13010', 'AT3G28850', 'AT1G22020', 'AT1G15820', 'AT5G12470', 'AT1G79230', 'AT5G16150', 'AT5G59250']
9010	9	19	10	4	['AT2G41680', 'AT3G17830', 'AT4G25910', 'AT4G36810']
39011	39	50	11	12	['AT1G20810', 'AT2G37400', 'AT1G21750', 'AT3G53560', 'AT1G74070', 'AT1G16790', 'AT1G78915', 'AT1G54790', 'AT4G38100', 'AT1G65260', 'AT2G01140', 'AT1G03850']
4019	4	23	19	20	['AT5G39830', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT1G03160', 'AT2G44990', 'AT1G14345', 'AT5G13120', 'AT2G37660', 'AT3G01440', 'AT1G14150', 'AT1G67700', 'AT1G18730', 'AT5G42270', 'AT3G15110', 'AT4G37925', 'AT5G35170', 'AT1G02560', 'AT2G41330', 'AT2G26800']
1608	16	24	8	32	['AT2G17630', 'AT4G13670', 'AT1G12250', 'AT1G02560', 'AT5G39830', 'AT2G29500', 'AT2G20270', 'AT5G42270', 'AT1G14345', 'AT1G80030', 'AT1G72640', 'AT2G35040', 'AT2G30695', 'AT2G37660', 'AT1G67700', 'AT1G03090', 'AT1G80380', 'AT5G01500', 'AT2G20260', 'AT5G19370', 'AT2G30950', 'AT1G55370', 'AT5G08540', 'AT1G52220', 'AT3G08920', 'AT1G76760', 'AT4G24750', 'AT5G03455', 'AT2G44990', 'AT3G15110', 'AT1G03160', 'AT2G40400']
1103	11	14	3	6	['AT3G21055', 'AT5G07020', 'AT1G71500', 'AT1G54780', 'AT5G08050', 'AT1G65230']
306	3	9	6	20	['AT2G37230', 'AT3G10130', 'AT2G42975', 'AT1G10170', 'AT1G50250', 'AT1G76760', 'AT4G39730', 'AT4G01050', 'AT4G39960', 'AT1G80380', 'AT4G27700', 'AT3G01440', 'AT3G15110', 'AT5G01220', 'AT1G23740', 'AT2G40400', 'AT5G23890', 'AT4G37925', 'AT3G24590', 'AT4G01900']
