term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
17492	0.0778	['AT1G54780', 'AT5G08540', 'AT3G25480', 'AT3G46780', 'AT3G21055', 'AT5G01220']	56	65	6	10
7817	0.0772	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT1G80380', 'AT2G20260', 'AT2G29180', 'AT3G01440', 'AT3G14420', 'AT4G37925']	53	64	9	12
7777	0.0771	['AT2G29180', 'AT3G14420', 'AT1G74710', 'AT2G20260', 'AT1G03160', 'AT3G08920', 'AT4G27700', 'AT1G67700', 'AT1G18730', 'AT1G80380', 'AT3G01440', 'AT4G37925', 'AT1G72640', 'AT5G52440', 'AT3G15110', 'AT1G14345']	53	62	16	10
131585	0.0769	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G54500', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	82	94	13	13
137282	0.0768	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT1G54500', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	84	94	15	11
141356	0.0762	['AT1G02560', 'AT1G16880', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G44990', 'AT3G08920']	85	104	7	20
32732	0.0762	['AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G08920']	59	79	5	21
120575	0.075	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	78	98	11	21
37787	0.075	['AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920']	60	79	6	20
37802	0.075	['AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G08920']	60	79	6	20
140151	0.075	['AT1G02560', 'AT1G16880', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G01500']	85	96	10	12
131584	0.075	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G54500', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	82	94	13	13
141518	0.0748	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G44990', 'AT3G08920']	85	105	7	21
